,Comp1,Comp2,Followers,Names,Gaussian,Spectral,Agglomerative,KMeans,Descriptions
0,0.635734960577,-0.292212716328,19315.0,Justin Sink,2,0,0,2,I write about the White House for Bloomberg @business and tweet about Philly sports. E-mail me at jsink1 at bloomberg dot net.
1,-0.828878507829,0.142423305628,221327.0,Howard Fineman,1,2,2,1,"https://t.co/Z73is4fJ3x|NBC/MSNBC|Author, The Thirteen American Arguments|Prof, @Penn|Consultant, PresidentShow|Kornheiser @ThisShowStinks| email:howard@finemanmedia.com"
2,-1.54250990481,0.73264715106,2176919.0,Michelle Malkin,1,2,1,1,Little brown woman. Big mouth. Wife. Mom. Entrepreneur. Geek. #ManitouIncline addict. Host of #michellemalkininvestigates on CRTV. #freedanielholtzclaw
3,0.117041959312,-0.0711339495598,15291.0,Paul Singer,2,0,0,2,Investigations editor at @NECIRBU and @WGBH. I am NOT the billionaire Paul Singer. paul_singer@wgbh.org
4,-0.958535824018,0.33009197225,169070.0,Peggy Noonan,1,2,2,1,"WSJ columnist and author of nine books on US politics and culture. Most recent: The Time of Our Lives. Pulitzer Prize for commentary, 2017."
5,-0.723892592663,0.104380659507,14135.0,David Shepardson,2,2,2,2,"@Reuters reporter covering transportation, autos @fcc infrastructure Former @DetroitNews Michigan native. Father of three, husband, would-be basketball player"
6,-0.27455498345,-0.533868890628,1806.0,Susan Joan Archer,2,2,2,2,Journalist | Producer | Videographer - @nbcnews The one and only Archer!
7,1.40152626228,0.743299247038,54663.0,Susan Page,0,0,0,0,"Washington Bureau Chief/USA Today. Veteran of 10 presidential campaigns. Now covering my sixth president. 
(Still trying to get it right.) FB
@susanpageusatoday"
8,-0.540607563228,-0.383446656781,11926.0,Alex Leary,2,2,2,2,Washington Bureau Chief - Tampa Bay Times leary@tampabay.com
9,-0.101942750733,0.0519455747243,187740.0,John Harwood,2,0,2,2,"a Dad who covers Washington, the economy and national politics for CNBC. Find my Speakeasy interviews at https://t.co/1W6sZssXTB"
10,1.38585308655,0.65571425673,45605.0,john r stanton,0,0,0,0,"senior national correspondent & former DC bureau chief for BuzzFeed, former @GUPolitics fellow, and former bar bouncer. all around DC bama"
11,-1.57697980549,-0.15845249462,6874.0,E!!,1,2,1,1,"Managing Ed @TheNVIndy. Chief Word Officer @ E Thompson Media. Panelist @KUNVradio. You may have seen me on @VegasPBS, @News3LV & @KTNV. Free thinker."
12,-1.23222512531,-0.230687199902,12952.0,Michael Roston,1,2,1,1,"Senior staff editor for Science, The New York Times. Star of the second screen."
13,1.07135222598,0.22677988907,25948.0,Scott Wong,0,0,0,0,"Senior staff writer @TheHill covering House Republicans. @Politico & @AZCentral alum, @UCLA Bruin, Bay Area born and raised. swong@thehill.com"
14,1.13407413864,0.614837489612,53625.0,Amy Chozick,0,0,0,0,"NYT writer-at-large. EW said my book CHASING HILLARY (out 4/24) reads ""like a rapidly paced political novel."" Pre-order here: https://t.co/XuSpEN85lt"
15,-2.5675046506,0.225595342912,3078777.0,Arianna Huffington,1,2,1,1,"mother, sister, flat shoe advocate, sleep evangelist, HuffPost founder, and founder and CEO of Thrive Global. https://t.co/XBvEJV1Wbq"
16,0.753034130637,-0.3567439026,14678.0,Kevin Robillard,2,0,0,2,"I report on Senate, governor and House races for @POLITICO. Massachusetts native. Maryland Terrapin. I'm more interested than angry.703-341-4659."
17,-0.215883690014,0.195690969532,20503.0,Juana Summers Markland,2,2,2,2,@cnnpolitics senior writer covering federal agencies  // competitive pinball player // craft beer nerd // Missouri is home // tips: juana.summers@cnn.com
18,-1.82727298529,0.447728639564,66494.0,Paul Lewis,1,2,1,1,The Guardian US West Coast Bureau Chief. Previously Washington Correspondent and Special Projects Editor in London.
19,1.17273557357,0.424092541782,35650.0,michaelscherer,0,0,0,0,"Washington Post national political reporter, etc."
20,-1.2890264682,-0.208840357431,4287.0,Josh Hafner,1,2,1,1,"Writer for @USATODAY. Christ-haunted. Published in @DMRegister, @MidwestLiving, @Politico et al. ""Be joyful though you have considered all the facts."""
21,-2.53430566525,0.244765866904,3528001.0,Sean Hannity,1,2,1,1,"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DM’s!"
22,1.46026397324,-1.09326710945,1421.0,SarahBakerNBC,0,0,0,0,NBC political producer former ABC and CNN news nut
